timestamp,run_id,epoch,episode,total_episode_count,state_encoder_version,voxel_channels,has_global_vector,global_feature_count,total_actions,invalid_actions,invalid_pct,blocks_placed,acc_step_reward,final_eval_reward,total_reward,epsilon,stop_reason,max_floor,placed_floor_distribution,rejected_total,rejected_no_support,rejected_collision,rejected_bad_socket,rejected_out_of_bounds,pruned_types,dead_tiles,dead_rotations,rejected_rot_aim,rejected_proximity,encoder_time_ms,global_encoder_time_ms,global_has_nan,global_has_infinity,global_feat_cnt,global_feat_mean,global_feat_max,global_feat_nonzero
2026-05-05 23:14:00,run_1778011901552,1,1,52,v3,16,true,32,14,0,0.0,13,7.0700,-11.4361,-4.3661,0.98108,AGENT_STOP,0,F0:13,672,0,0,0,0,0,0,0,0,672,20,0,false,false,32,0.2714,1.0000,16
2026-05-05 23:14:01,run_1778011901552,1,2,53,v3,16,true,32,14,0,0.0,13,7.3700,-10.2868,-2.9168,0.98096,AGENT_STOP,0,F0:13,595,0,0,0,0,0,0,0,0,595,20,0,false,false,32,0.2842,1.0000,16
2026-05-05 23:14:01,run_1778011901552,1,3,54,v3,16,true,32,12,0,0.0,11,5.2800,-7.4994,-2.2194,0.98084,MASK_EMPTY,0,F0:11,300,0,0,0,0,0,1,0,0,299,12,0,false,false,32,0.2739,1.0000,16
2026-05-05 23:14:01,run_1778011901552,1,4,55,v3,16,true,32,9,0,0.0,8,3.7720,-8.9146,-5.1426,0.98072,MASK_EMPTY,1,F0:7|F1:1,487,0,0,0,0,0,1,0,0,486,7,0,false,false,32,0.2966,1.0000,19
2026-05-05 23:14:02,run_1778011901552,1,5,56,v3,16,true,32,12,0,0.0,11,4.9700,-14.9745,-10.0045,0.98060,AGENT_STOP,0,F0:11,5896,0,0,0,0,0,1,0,0,5895,7,0,false,false,32,0.2109,1.0000,14
2026-05-05 23:14:02,run_1778011901552,1,6,57,v3,16,true,32,8,0,0.0,7,3.5600,-7.4163,-3.8563,0.98048,AGENT_STOP,0,F0:7,3266,0,0,0,0,0,6,0,0,3260,5,0,false,false,32,0.2654,1.0000,15
2026-05-05 23:14:03,run_1778011901552,1,7,58,v3,16,true,32,23,0,0.0,22,16.4140,-10.5279,5.8861,0.98035,AGENT_STOP,1,F0:20|F1:2,10609,0,0,0,0,0,17,0,0,10592,18,0,false,false,32,0.3130,1.0000,18
2026-05-05 23:14:05,run_1778011901552,1,8,59,v3,16,true,32,22,0,0.0,22,14.1468,-13.9384,0.2084,0.98023,MASK_EMPTY,1,F0:16|F1:6,10708,0,0,0,0,0,7,0,0,10701,12,0,false,false,32,0.3051,1.0000,19
2026-05-05 23:14:07,run_1778011901552,1,9,60,v3,16,true,32,31,0,0.0,30,27.5176,-11.7164,15.8012,0.98011,AGENT_STOP,2,F0:16|F1:11|F2:3,13757,0,0,0,0,0,13,0,0,13744,41,0,false,false,32,0.3048,1.0000,18
2026-05-05 23:14:07,run_1778011901552,1,10,61,v3,16,true,32,7,0,0.0,6,2.9640,-6.3370,-3.3730,0.97999,AGENT_STOP,1,F0:4|F1:2,2995,0,0,0,0,0,2,0,0,2993,6,0,false,false,32,0.2434,1.0000,16
