timestamp,run_id,epoch,episode,total_episode_count,state_encoder_version,total_actions,blocks_placed,invalid_actions,episode_ms,context_ms,state_encode_ms,next_state_encode_ms,action_select_ms,grid_clone_ms,placement_ms,finalize_ms,reward_ms,replay_ms,train_batch_ms,invalid_log_ms,final_eval_ms,episode_log_ms,update_best_ms,untracked_ms,top_stage,top_stage_ms,rejected_proximity,rejected_rot_aim,dead_tiles,dead_rotations,pruned_types
2026-05-06 12:45:57,run_1778060708817,1,1,1,v3,27,27,0,893.271,2.059,54.673,30.560,703.320,2.431,1.851,2.454,67.140,0.151,0.000,0.000,0.601,0.674,0.245,27.113,action_select,703.320,1482,0,0,0,0
2026-05-06 12:45:59,run_1778060708817,1,2,2,v3,37,36,0,1615.951,1.766,19.722,22.630,348.357,2.143,0.902,3.278,27.028,0.171,1186.135,0.000,0.593,0.440,0.175,2.611,train_batch,1186.135,9634,0,0,0,0
2026-05-06 12:46:00,run_1778060708817,1,3,3,v3,9,8,0,681.168,0.137,3.882,4.055,57.399,0.104,0.116,0.159,1.014,0.034,613.517,0.000,0.160,0.349,0.034,0.207,train_batch,613.517,5879,0,0,0,0
2026-05-06 12:46:00,run_1778060708817,1,4,4,v3,10,9,0,648.205,0.126,3.061,3.092,57.266,0.126,0.169,0.200,1.023,0.048,582.322,0.000,0.159,0.342,0.027,0.245,train_batch,582.322,5997,0,0,0,0
2026-05-06 12:46:02,run_1778060708817,1,5,5,v3,18,17,0,2095.524,0.336,11.450,8.866,232.677,0.800,0.337,0.763,6.246,4.908,1827.269,0.000,0.295,0.391,0.205,0.981,train_batch,1827.269,10247,0,0,0,0
2026-05-06 12:46:03,run_1778060708817,1,6,6,v3,11,10,0,954.625,0.168,5.506,5.016,92.964,0.328,0.271,0.425,2.378,0.046,846.545,0.000,0.175,0.299,0.029,0.477,train_batch,846.545,5776,0,0,0,0
2026-05-06 12:46:05,run_1778060708817,1,7,7,v3,17,16,0,1312.273,0.256,6.294,7.448,137.717,0.411,0.462,0.598,2.804,0.081,1154.904,0.000,0.245,0.312,0.050,0.690,train_batch,1154.904,9479,0,0,0,0
2026-05-06 12:46:05,run_1778060708817,1,8,8,v3,10,9,0,823.816,0.133,3.843,3.924,67.723,0.186,0.218,0.191,1.490,0.039,745.133,0.000,0.201,0.382,0.050,0.303,train_batch,745.133,5634,0,0,0,0
2026-05-06 12:46:06,run_1778060708817,1,9,9,v3,10,10,0,655.450,0.118,3.332,3.712,58.914,0.165,0.153,0.156,1.015,0.033,586.591,0.000,0.319,0.347,0.036,0.559,train_batch,586.591,5194,0,0,0,0
2026-05-06 12:46:06,run_1778060708817,1,10,10,v3,8,7,0,432.373,0.085,2.541,2.186,45.623,0.088,0.102,0.106,0.569,0.024,380.394,0.000,0.116,0.316,0.022,0.200,train_batch,380.394,3435,0,0,0,0
2026-05-06 12:46:08,run_1778060708817,1,11,11,v3,17,16,0,1043.664,0.198,6.101,6.184,93.373,0.321,0.246,0.361,1.856,0.056,933.839,0.000,0.216,0.320,0.047,0.547,train_batch,933.839,8048,0,0,0,0
2026-05-06 12:46:08,run_1778060708817,1,12,12,v3,8,7,0,467.598,0.086,2.750,3.452,43.925,0.075,0.125,0.110,0.723,0.028,415.753,0.000,0.120,0.245,0.022,0.183,train_batch,415.753,3420,0,0,0,0
2026-05-06 12:46:09,run_1778060708817,1,13,13,v3,12,11,0,644.814,0.139,3.625,3.808,66.360,0.156,0.182,0.227,1.180,0.039,568.319,0.000,0.171,0.267,0.030,0.313,train_batch,568.319,5729,0,0,0,0
2026-05-06 12:46:09,run_1778060708817,1,14,14,v3,14,14,0,833.369,0.373,3.978,3.964,73.280,0.239,0.216,0.255,1.380,0.045,748.777,0.000,0.154,0.275,0.044,0.390,train_batch,748.777,7611,0,0,0,0
2026-05-06 12:46:10,run_1778060708817,1,15,15,v3,11,10,0,676.019,0.214,3.526,4.201,79.006,0.157,0.170,0.182,0.936,0.038,586.632,0.000,0.178,0.400,0.099,0.282,train_batch,586.632,5534,0,0,0,0
2026-05-06 12:46:11,run_1778060708817,1,16,16,v3,16,15,0,1078.340,0.177,6.090,6.553,111.344,0.275,0.318,0.383,1.819,0.095,950.234,0.000,0.253,0.257,0.047,0.498,train_batch,950.234,7485,0,0,0,0
2026-05-06 12:46:12,run_1778060708817,1,17,17,v3,7,6,0,547.118,0.100,2.845,2.987,55.447,0.087,0.135,0.108,0.592,0.025,484.152,0.000,0.135,0.276,0.020,0.210,train_batch,484.152,3169,0,0,0,0
