timestamp,epoch,episodes,state_encoder_version,voxel_channels,has_global_vector,global_feature_count,avg_step_reward,avg_final_eval_reward,avg_total_reward,positive_total_rate,positive_final_rate,avg_blocks_placed,avg_rejected_proximity,avg_encoder_time_ms,avg_global_encoder_time_ms,best_reward_all_time,best_ep_reward,epsilon,loss,invalid_rate_pct,total_blocks,ram_mb,best_base_blocks,best_base_tc,best_base_doors,epoch_time_sec
2026-05-06 12:47:20,1,100,v3,16,true,32,7.5105,-11.2038,-3.6933,0.1500,0.0000,12.92,6769.78,11.02,0.00,-1.0000,38.4764,0.96325,0.091857,0.2,1292,77,0,NO,0,84.1
2026-05-06 12:48:40,2,100,v3,16,true,32,7.6414,-11.1509,-3.5095,0.1100,0.0000,12.95,6991.10,10.15,0.00,-1.0000,30.0489,0.92784,0.216822,0.0,1295,123,0,NO,0,79.8
2026-05-06 12:50:02,3,100,v3,16,true,32,6.8156,-11.6255,-4.8099,0.1400,0.0000,12.42,6500.91,11.50,0.00,-1.0000,16.2910,0.89374,0.100865,0.4,1242,155,0,NO,0,81.9
2026-05-06 12:51:41,4,100,v3,16,true,32,9.4726,-11.9931,-2.5205,0.2000,0.0000,14.76,7850.52,14.61,0.00,-1.0000,38.7503,0.86089,0.149901,0.2,1476,136,0,NO,0,98.9
2026-05-06 12:53:15,5,100,v3,16,true,32,8.8513,-11.6198,-2.7685,0.2100,0.0000,14.07,7512.99,13.33,0.00,-1.0000,42.0038,0.82925,0.365653,0.2,1407,179,0,NO,0,93.8
2026-05-06 12:54:47,6,100,v3,16,true,32,9.5039,-11.2710,-1.7670,0.2500,0.0000,14.76,7929.54,13.78,0.00,-1.0000,47.6597,0.79877,0.016782,0.3,1476,125,0,NO,0,92.0
2026-05-06 12:56:30,7,100,v3,16,true,32,11.5169,-11.2345,0.2824,0.3700,0.0000,16.70,8648.05,15.07,0.00,-1.0000,52.0252,0.76941,0.065171,0.2,1670,161,0,NO,0,103.3
2026-05-06 12:58:09,8,100,v3,16,true,32,10.3786,-12.1816,-1.8030,0.2600,0.0000,15.75,8536.20,14.74,0.00,-1.0000,40.8950,0.74113,0.181730,0.3,1575,120,0,NO,0,99.0
2026-05-06 12:59:46,9,100,v3,16,true,32,9.7238,-11.9375,-2.2137,0.2300,0.0000,14.76,7970.63,14.17,0.00,-1.0000,39.2579,0.71389,0.057122,0.4,1476,179,0,NO,0,96.7
2026-05-06 13:01:45,10,100,v3,16,true,32,13.6370,-11.8780,1.7590,0.3800,0.0000,18.05,9054.86,18.80,0.00,-1.0000,53.0308,0.68766,0.043075,0.8,1805,131,0,NO,0,119.2
