timestamp,epoch,episodes,state_encoder_version,voxel_channels,has_global_vector,global_feature_count,avg_step_reward,avg_final_eval_reward,avg_total_reward,positive_total_rate,positive_final_rate,avg_blocks_placed,avg_rejected_proximity,avg_encoder_time_ms,avg_global_encoder_time_ms,best_reward_all_time,best_ep_reward,epsilon,loss,invalid_rate_pct,total_blocks,ram_mb,best_base_blocks,best_base_tc,best_base_doors,epoch_time_sec
2026-05-06 23:05:06,1,100,v3,16,true,32,8.7461,-8.9001,-0.1540,0.3000,0.0100,14.07,6717.17,12.89,0.00,22.3419,50.8212,0.98145,0.194594,0.1,1407,77,31,YES,1,86.3
2026-05-06 23:06:32,2,100,v3,16,true,32,8.7589,-8.2016,0.5573,0.4100,0.0100,14.09,6560.64,11.58,0.00,32.5866,48.4687,0.96325,0.362872,0.0,1409,92,19,YES,1,86.3
2026-05-06 23:07:57,3,100,v3,16,true,32,8.6480,-9.6662,-1.0182,0.3400,0.0000,14.23,6263.27,10.97,0.00,32.5866,30.8132,0.94538,0.289398,0.1,1423,148,19,YES,1,84.7
2026-05-06 23:09:19,4,100,v3,16,true,32,8.2932,-8.6328,-0.3396,0.3600,0.0200,13.63,6245.02,11.02,0.00,32.5866,43.6399,0.92784,0.334516,0.1,1363,103,19,YES,1,82.3
2026-05-06 23:10:43,5,100,v3,16,true,32,8.4482,-8.4747,-0.0265,0.3400,0.0100,13.70,6199.18,10.55,0.00,32.5866,33.2874,0.91063,0.263537,0.1,1370,113,19,YES,1,83.3
2026-05-06 23:12:07,6,100,v3,16,true,32,8.8229,-8.4838,0.3391,0.4000,0.0100,13.92,6412.84,12.32,0.00,32.5866,42.9895,0.89374,0.220650,0.1,1392,174,19,YES,1,84.5
2026-05-06 23:13:29,7,100,v3,16,true,32,8.5164,-8.3012,0.2152,0.3200,0.0300,13.55,6051.22,11.10,0.00,32.5866,39.8357,0.87716,0.392612,0.1,1355,113,19,YES,1,81.6
2026-05-06 23:14:58,8,100,v3,16,true,32,9.4819,-8.0940,1.3878,0.4200,0.0200,14.95,6422.25,12.31,0.00,32.5866,60.7286,0.86089,0.238977,0.1,1495,106,19,YES,1,89.0
2026-05-06 23:16:29,9,100,v3,16,true,32,10.0623,-8.4075,1.6549,0.4000,0.0200,15.33,6696.62,12.41,0.00,32.5866,72.7705,0.84492,0.209744,0.2,1533,143,19,YES,1,91.0
2026-05-06 23:17:57,10,100,v3,16,true,32,8.9840,-8.6028,0.3812,0.3300,0.0300,14.51,6457.03,11.79,0.00,32.5866,63.5572,0.82925,0.245706,0.4,1451,140,19,YES,1,88.3
