timestamp,run_id,epoch,episode,total_episode_count,state_encoder_version,total_actions,blocks_placed,invalid_actions,episode_ms,context_ms,state_encode_ms,next_state_encode_ms,action_select_ms,grid_clone_ms,placement_ms,finalize_ms,reward_ms,replay_ms,train_batch_ms,invalid_log_ms,final_eval_ms,episode_log_ms,update_best_ms,untracked_ms,top_stage,top_stage_ms,rejected_proximity,rejected_rot_aim,dead_tiles,dead_rotations,pruned_types
2026-05-06 23:03:40,run_1778097755423,1,1,1,v3,15,14,0,862.111,1.343,28.127,25.237,702.527,1.906,17.456,1.157,80.112,0.069,0.000,0.000,0.596,0.917,0.200,2.466,action_select,702.527,726,0,0,0,0
2026-05-06 23:03:41,run_1778097755423,1,2,2,v3,31,31,0,374.300,1.821,19.945,22.039,305.287,3.468,1.094,3.048,13.642,0.137,0.000,0.000,1.135,0.823,1.648,0.215,action_select,305.287,2007,0,0,0,0
2026-05-06 23:03:41,run_1778097755423,1,3,3,v3,8,7,0,437.848,0.316,3.101,3.400,62.943,0.364,0.139,0.168,1.934,0.039,364.453,0.000,0.234,0.638,0.044,0.077,train_batch,364.453,2098,0,0,0,0
2026-05-06 23:03:42,run_1778097755423,1,4,4,v3,9,8,0,692.078,0.454,3.605,4.007,59.980,0.268,0.153,0.216,1.063,0.037,621.337,0.000,0.275,0.567,0.046,0.071,train_batch,621.337,5311,0,0,0,0
2026-05-06 23:03:43,run_1778097755423,1,5,5,v3,9,8,0,660.768,0.182,2.804,2.693,53.307,0.215,0.121,0.226,0.977,0.044,599.384,0.000,0.184,0.532,0.033,0.066,train_batch,599.384,4815,0,0,0,0
2026-05-06 23:03:43,run_1778097755423,1,6,6,v3,12,11,0,705.530,0.238,4.351,4.331,83.484,0.229,0.186,0.279,1.500,0.035,610.004,0.000,0.210,0.547,0.031,0.105,train_batch,610.004,4151,0,2,0,0
2026-05-06 23:03:44,run_1778097755423,1,7,7,v3,13,12,0,878.872,0.287,5.937,5.759,83.688,0.348,0.193,0.313,2.055,0.043,779.398,0.000,0.245,0.468,0.039,0.101,train_batch,779.398,6720,0,3,0,0
2026-05-06 23:03:45,run_1778097755423,1,8,8,v3,18,17,0,1144.123,0.301,8.772,9.505,129.541,0.576,0.303,0.656,3.196,0.071,990.042,0.000,0.487,0.455,0.036,0.184,train_batch,990.042,8626,0,3,0,0
2026-05-06 23:03:46,run_1778097755423,1,9,9,v3,8,7,0,511.508,0.099,3.818,4.056,77.048,0.167,0.154,0.110,0.855,0.027,424.484,0.000,0.168,0.433,0.021,0.067,train_batch,424.484,3394,0,0,0,0
2026-05-06 23:03:46,run_1778097755423,1,10,10,v3,6,5,0,435.364,0.075,2.605,2.868,43.822,0.142,0.124,0.070,0.558,0.022,384.576,0.000,0.006,0.419,0.018,0.059,train_batch,384.576,3313,0,0,0,0
2026-05-06 23:03:47,run_1778097755423,1,11,11,v3,18,17,0,1109.564,0.249,9.001,9.262,129.269,0.539,0.355,0.356,2.367,0.062,957.297,0.000,0.271,0.359,0.035,0.143,train_batch,957.297,8276,0,2,0,0
2026-05-06 23:03:48,run_1778097755423,1,12,12,v3,8,7,0,441.620,0.099,3.782,3.701,56.984,0.163,0.114,0.099,0.836,0.026,375.294,0.000,0.129,0.309,0.019,0.067,train_batch,375.294,3473,0,0,0,0
2026-05-06 23:03:49,run_1778097755423,1,13,13,v3,26,25,0,1533.570,0.560,9.900,10.432,178.329,0.905,0.437,0.770,3.736,0.085,1327.429,0.000,0.413,0.256,0.045,0.273,train_batch,1327.429,11600,0,3,0,0
2026-05-06 23:03:50,run_1778097755423,1,14,14,v3,7,6,0,434.690,0.085,2.303,2.315,44.271,0.129,0.090,0.079,0.484,0.020,384.477,0.000,0.113,0.250,0.017,0.059,train_batch,384.477,3294,0,1,0,0
2026-05-06 23:03:50,run_1778097755423,1,15,15,v3,8,7,0,424.602,0.102,2.697,2.824,42.296,0.133,0.109,0.099,0.667,0.024,375.074,0.000,0.124,0.358,0.031,0.065,train_batch,375.074,3515,0,0,0,0
2026-05-06 23:03:51,run_1778097755423,1,16,16,v3,20,19,0,1126.386,0.278,9.398,11.355,150.590,0.615,0.399,0.474,2.325,0.067,950.158,0.000,0.244,0.276,0.046,0.160,train_batch,950.158,9278,0,0,0,0
2026-05-06 23:03:53,run_1778097755423,1,17,17,v3,25,23,1,1528.564,0.358,10.668,11.530,146.386,0.877,0.412,0.667,59.685,0.086,1296.204,0.209,0.318,0.357,0.060,0.749,train_batch,1296.204,13139,0,7,0,0
2026-05-06 23:03:54,run_1778097755423,1,18,18,v3,9,9,0,610.659,0.107,3.670,3.652,51.903,0.160,0.144,0.111,0.659,0.019,549.702,0.000,0.160,0.261,0.036,0.076,train_batch,549.702,5087,0,1,0,0
2026-05-06 23:03:54,run_1778097755423,1,19,19,v3,14,13,0,840.133,0.197,5.445,5.923,87.868,0.314,0.264,0.232,1.459,0.037,737.798,0.000,0.176,0.267,0.029,0.124,train_batch,737.798,7217,0,2,0,0
2026-05-06 23:03:57,run_1778097755423,1,20,20,v3,40,41,0,2242.296,0.860,28.493,20.800,273.715,1.684,0.746,1.748,6.762,0.057,1906.287,0.000,0.515,0.233,0.067,0.330,train_batch,1906.287,18812,0,4,0,0
2026-05-06 23:03:58,run_1778097755423,1,21,21,v3,25,25,0,1482.981,0.260,8.544,9.077,150.059,0.793,0.364,0.617,2.815,0.033,1309.644,0.000,0.303,0.240,0.057,0.175,train_batch,1309.644,12338,0,3,0,0
2026-05-06 23:03:59,run_1778097755423,1,22,22,v3,17,16,0,1082.722,0.167,7.739,8.210,112.868,0.433,0.250,0.320,1.612,0.024,950.396,0.000,0.220,0.311,0.039,0.135,train_batch,950.396,8629,0,0,0,0
2026-05-06 23:04:00,run_1778097755423,1,23,23,v3,14,13,0,931.044,0.147,7.491,7.000,121.021,0.274,0.225,0.231,1.361,0.017,792.668,0.000,0.190,0.260,0.031,0.130,train_batch,792.668,7185,0,2,0,0
2026-05-06 23:04:01,run_1778097755423,1,24,24,v3,13,12,0,825.616,0.125,4.194,4.540,74.723,0.250,0.202,0.191,1.068,0.016,739.729,0.000,0.186,0.248,0.041,0.104,train_batch,739.729,7243,0,0,0,0
2026-05-06 23:04:02,run_1778097755423,1,25,25,v3,11,11,0,602.726,0.098,2.793,2.669,54.630,0.174,0.135,0.119,0.679,0.012,540.955,0.000,0.139,0.216,0.023,0.082,train_batch,540.955,5910,0,1,0,0
2026-05-06 23:04:02,run_1778097755423,1,26,26,v3,16,15,0,816.718,0.159,5.456,5.493,82.186,0.357,0.236,0.283,1.357,0.020,720.569,0.000,0.168,0.279,0.029,0.126,train_batch,720.569,6794,0,1,0,0
2026-05-06 23:04:03,run_1778097755423,1,27,27,v3,11,10,0,634.968,0.112,3.721,3.415,66.174,0.167,0.277,0.187,0.841,0.014,559.564,0.000,0.108,0.267,0.021,0.102,train_batch,559.564,5235,0,0,0,0
2026-05-06 23:04:04,run_1778097755423,1,28,28,v3,13,12,0,828.285,0.141,4.114,4.321,75.294,0.237,0.229,0.164,0.946,0.018,742.232,0.000,0.187,0.243,0.038,0.122,train_batch,742.232,7478,0,1,0,0
2026-05-06 23:04:05,run_1778097755423,1,29,29,v3,28,27,0,1528.172,0.337,10.214,20.184,151.377,1.125,0.443,0.735,3.698,0.044,1339.122,0.000,0.362,0.230,0.041,0.259,train_batch,1339.122,12359,0,3,0,0
2026-05-06 23:04:06,run_1778097755423,1,30,30,v3,9,8,0,640.533,0.092,3.312,3.369,63.796,0.136,0.129,0.108,0.621,0.016,568.479,0.000,0.117,0.230,0.024,0.106,train_batch,568.479,5236,0,0,0,0
