timestamp,run_id,epoch,episode,step,state_encoder_version,fail_reason,action_type,floor,tileX,tileY,rotation,aimSector,minDist,socketDist,mask_allowed,physics_allowed
2026-05-06 23:03:52,run_1778097755423,1,17,15,v3,NO_SUPPORT,WINDOW_FRAME,0,0,5,0,1,-1.0000,-1.0000,true,true
2026-05-06 23:31:06,run_1778097755423,19,25,7,v3,NO_SUPPORT,WALL,0,0,2,0,5,-1.0000,-1.0000,true,true
2026-05-06 23:31:07,run_1778097755423,19,25,29,v3,NO_SUPPORT,WINDOW_FRAME,0,0,2,0,5,-1.0000,-1.0000,true,true
2026-05-06 23:36:11,run_1778097755423,22,25,36,v3,NO_SUPPORT,WALL,0,5,3,1,7,-1.0000,-1.0000,true,true
2026-05-06 23:44:41,run_1778097755423,26,100,19,v3,NO_SUPPORT,WINDOW_FRAME,0,2,3,3,5,-1.0000,-1.0000,true,true
2026-05-06 23:44:42,run_1778097755423,26,100,24,v3,NO_SUPPORT,DOORWAY,0,2,3,3,5,-1.0000,-1.0000,true,true
2026-05-06 23:53:07,run_1778097755423,31,75,10,v3,NO_SUPPORT,DOORWAY,0,3,3,0,12,-1.0000,-1.0000,true,true
2026-05-07 00:20:12,run_1778097755423,45,50,19,v3,NO_SUPPORT,DOORWAY,0,3,5,3,9,-1.0000,-1.0000,true,true
2026-05-07 00:20:12,run_1778097755423,45,50,22,v3,NO_SUPPORT,WINDOW_FRAME,0,3,5,3,9,-1.0000,-1.0000,true,true
2026-05-07 02:18:52,run_1778097755423,93,100,35,v3,NO_SUPPORT,WINDOW_FRAME,0,3,6,0,5,-1.0000,-1.0000,true,true
2026-05-07 03:11:30,run_1778097755423,111,100,35,v3,NO_SUPPORT,WALL,0,2,6,3,5,-1.0000,-1.0000,true,true
2026-05-07 03:26:30,run_1778097755423,116,100,33,v3,NO_SUPPORT,WINDOW_FRAME,0,6,7,0,9,-1.0000,-1.0000,true,true
2026-05-07 03:34:43,run_1778097755423,119,75,39,v3,NO_SUPPORT,WINDOW_FRAME,0,5,3,2,5,-1.0000,-1.0000,true,true
