timestamp,run_id,epoch,episode,step,state_encoder_version,fail_reason,action_type,floor,tileX,tileY,rotation,aimSector,minDist,socketDist,mask_allowed,physics_allowed
2026-05-06 06:29:23,run_1778011901552,0,17950,27,v3,NO_SUPPORT,WINDOW_FRAME,0,1,4,0,5,-1.0000,-1.0000,true,true
2026-05-06 06:29:24,run_1778011901552,0,17950,36,v3,NO_SUPPORT,WINDOW_FRAME,0,1,4,0,5,-1.0000,-1.0000,true,true
2026-05-06 06:29:24,run_1778011901552,0,17950,38,v3,NO_SUPPORT,WINDOW_FRAME,0,0,3,3,5,-1.0000,-1.0000,true,true
2026-05-06 06:34:46,run_1778011901552,0,18100,38,v3,NO_SUPPORT,DOORWAY,0,4,4,0,10,-1.0000,-1.0000,true,true
2026-05-06 06:34:46,run_1778011901552,0,18100,51,v3,NO_SUPPORT,DOORWAY,0,5,4,0,9,-1.0000,-1.0000,true,true
2026-05-06 06:57:00,run_1778011901552,0,18725,19,v3,NO_SUPPORT,DOORWAY,0,4,4,3,10,-1.0000,-1.0000,true,true
2026-05-06 07:03:06,run_1778011901552,0,18900,46,v3,NO_SUPPORT,WINDOW_FRAME,0,6,2,0,5,-1.0000,-1.0000,true,true
2026-05-06 07:04:03,run_1778011901552,0,18925,40,v3,NO_SUPPORT,WINDOW_FRAME,2,4,3,0,6,-1.0000,-1.0000,true,true
2026-05-06 07:04:03,run_1778011901552,0,18925,41,v3,NO_SUPPORT,WINDOW_FRAME,2,4,3,0,6,-1.0000,-1.0000,true,true
2026-05-06 07:04:03,run_1778011901552,0,18925,42,v3,NO_SUPPORT,WINDOW_FRAME,2,4,3,0,6,-1.0000,-1.0000,true,true
2026-05-06 07:16:01,run_1778011901552,0,19250,15,v3,NO_SUPPORT,WINDOW_FRAME,0,5,3,3,5,-1.0000,-1.0000,true,true
2026-05-06 07:22:02,run_1778011901552,0,19425,24,v3,NO_SUPPORT,WALL,0,2,4,3,5,-1.0000,-1.0000,true,true
2026-05-06 07:30:51,run_1778011901552,0,19675,16,v3,NO_SUPPORT,WINDOW_FRAME,0,5,3,0,5,-1.0000,-1.0000,true,true
2026-05-06 07:30:51,run_1778011901552,0,19675,25,v3,NO_SUPPORT,WINDOW_FRAME,0,3,3,0,5,-1.0000,-1.0000,true,true
2026-05-06 07:30:52,run_1778011901552,0,19675,30,v3,NO_SUPPORT,WINDOW_FRAME,0,3,3,0,5,-1.0000,-1.0000,true,true
2026-05-06 07:36:38,run_1778011901552,0,19825,30,v3,NO_SUPPORT,DOORWAY,0,3,4,3,6,-1.0000,-1.0000,true,true
2026-05-06 07:36:39,run_1778011901552,0,19825,43,v3,NO_SUPPORT,WALL,0,4,5,0,5,-1.0000,-1.0000,true,true
2026-05-06 07:38:31,run_1778011901552,0,19875,31,v3,NO_SUPPORT,WALL,1,2,6,0,10,-1.0000,-1.0000,true,true
2026-05-06 07:38:32,run_1778011901552,0,19875,41,v3,NO_SUPPORT,DOORWAY,1,3,6,3,9,-1.0000,-1.0000,true,true
2026-05-06 07:38:32,run_1778011901552,0,19875,44,v3,NO_SUPPORT,WALL,1,3,7,3,5,-1.0000,-1.0000,true,true
2026-05-06 07:47:05,run_1778011901552,0,20100,25,v3,NO_SUPPORT,DOORWAY,1,2,4,3,9,-1.0000,-1.0000,true,true
2026-05-06 07:47:05,run_1778011901552,0,20100,35,v3,NO_SUPPORT,WALL,1,2,4,0,9,-1.0000,-1.0000,true,true
2026-05-06 07:47:06,run_1778011901552,0,20100,52,v3,NO_SUPPORT,DOORWAY,1,2,4,3,9,-1.0000,-1.0000,true,true
