timestamp,run_id,epoch,episode,total_episode_count,state_encoder_version,voxel_channels,has_global_vector,global_feature_count,total_actions,invalid_actions,invalid_pct,blocks_placed,acc_step_reward,final_eval_reward,total_reward,epsilon,stop_reason,max_floor,placed_floor_distribution,rejected_total,rejected_no_support,rejected_collision,rejected_bad_socket,rejected_out_of_bounds,pruned_types,dead_tiles,dead_rotations,rejected_rot_aim,rejected_proximity,encoder_time_ms,global_encoder_time_ms,global_has_nan,global_has_infinity,global_feat_cnt,global_feat_mean,global_feat_max,global_feat_nonzero
2026-05-06 12:45:57,run_1778060708817,1,1,1,v3,16,true,32,27,0,0.0,27,19.4440,-12.1838,7.2602,1.00000,AGENT_STOP,2,F0:19|F1:6|F2:2,1482,0,0,0,0,0,0,0,0,1482,88,0,false,false,32,0.3060,1.0000,19
2026-05-06 12:45:59,run_1778060708817,1,2,2,v3,16,true,32,37,0,0.0,36,33.7269,-17.7670,15.9599,0.99963,AGENT_STOP,3,F0:23|F1:6|F2:5|F3:2,9634,0,0,0,0,0,0,0,0,9634,38,0,false,false,32,0.3327,1.0000,19
2026-05-06 12:46:00,run_1778060708817,1,3,3,v3,16,true,32,9,0,0.0,8,3.8600,-8.2643,-4.4043,0.99925,AGENT_STOP,0,F0:8,5879,0,0,0,0,0,0,0,0,5879,9,0,false,false,32,0.2949,1.0000,16
2026-05-06 12:46:00,run_1778060708817,1,4,4,v3,16,true,32,10,0,0.0,9,3.6019,-11.5885,-7.9866,0.99888,AGENT_STOP,0,F0:9,5997,0,0,0,0,0,0,0,0,5997,7,0,false,false,32,0.2174,1.0000,14
2026-05-06 12:46:02,run_1778060708817,1,5,5,v3,16,true,32,18,0,0.0,17,10.9361,-9.3574,1.5786,0.99850,AGENT_STOP,1,F0:12|F1:5,10247,0,0,0,0,0,0,0,0,10247,19,0,false,false,32,0.2264,1.0000,18
2026-05-06 12:46:03,run_1778060708817,1,6,6,v3,16,true,32,11,0,0.0,10,5.2739,-6.8918,-1.6179,0.99813,AGENT_STOP,1,F0:9|F1:1,5776,0,0,0,0,0,0,0,0,5776,10,0,false,false,32,0.2286,1.0000,16
2026-05-06 12:46:05,run_1778060708817,1,7,7,v3,16,true,32,17,0,0.0,16,9.0256,-7.8298,1.1959,0.99776,AGENT_STOP,1,F0:15|F1:1,9479,0,0,0,0,0,0,0,0,9479,17,0,false,false,32,0.2528,1.0000,17
2026-05-06 12:46:05,run_1778060708817,1,8,8,v3,16,true,32,10,0,0.0,9,5.2307,-5.9674,-0.7367,0.99738,AGENT_STOP,2,F0:5|F1:3|F2:1,5634,0,0,0,0,0,0,0,0,5634,8,0,false,false,32,0.2454,1.0000,16
2026-05-06 12:46:06,run_1778060708817,1,9,9,v3,16,true,32,10,0,0.0,10,4.5600,-9.7886,-5.2286,0.99701,AGENT_STOP,0,F0:10,5194,0,0,0,0,0,0,0,0,5194,10,0,false,false,32,0.2693,1.0000,15
2026-05-06 12:46:06,run_1778060708817,1,10,10,v3,16,true,32,8,0,0.0,7,2.9700,-6.6263,-3.6563,0.99664,AGENT_STOP,0,F0:7,3435,0,0,0,0,0,0,0,0,3435,7,0,false,false,32,0.2029,1.0000,13
